Player_ID,SHIRT_N,PLAYER_NAME,AGE,HEIGHT,FOOT,Country,SQUAD,SQUAD_RANKING,OPPONENT,OPPONENT RANKING,M_WEEKDAY,M_MONTH,M_SEASON,YEAR,COMPETITION_N,ROUND_N,VENUE_N,STARTER,STRIKER,Penalty,Penalty_shooter,MINUTES,GOALS
PT-7,7,Cristiano Ronaldo,36,187,1,pt,Portugal,8,Luxembourg,93,3,3,1,2021,2,1,2,1,1,0,1,90,1
PT-7,7,Cristiano Ronaldo,36,187,1,pt,Portugal,8,Spain,7,6,6,2,2021,1,0,2,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,36,187,1,pt,Portugal,8,Israel,78,4,6,2,2021,1,0,1,1,1,0,1,70,1
PT-7,7,Cristiano Ronaldo,36,187,1,pt,Portugal,8,Hungary,39,3,6,2,2021,3,1,3,1,1,1,1,90,2
PT-7,7,Cristiano Ronaldo,36,187,1,pt,Portugal,8,Germany,12,7,6,2,2021,3,1,3,1,1,0,1,90,1
PT-7,7,Cristiano Ronaldo,36,187,1,pt,Portugal,8,France,3,4,6,2,2021,3,1,3,1,1,2,1,90,2
PT-7,7,Cristiano Ronaldo,36,187,1,pt,Portugal,8,Belgium,1,1,6,2,2021,3,2,3,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,37,187,1,pt,Portugal,8,Rep. of Ireland,47,4,9,3,2021,2,1,1,1,1,0,1,90,2
PT-7,7,Cristiano Ronaldo,37,187,1,pt,Portugal,8,Qatar,48,7,10,3,2021,1,0,1,1,1,0,1,45,1
PT-7,7,Cristiano Ronaldo,37,187,1,pt,Portugal,8,Luxembourg,93,3,10,3,2021,2,1,1,1,1,2,1,90,3
PT-7,7,Cristiano Ronaldo,37,187,1,pt,Portugal,8,Rep. of Ireland,47,5,11,3,2021,2,1,2,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,37,187,1,pt,Portugal,8,Serbia,23,1,11,3,2021,2,1,1,1,1,0,1,90,0
