DOB,Height,Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/11/2013,Fri,WCQ,First round,Home,D 1–1,pt Portugal,il Israel,Y*,,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,11/15/2013,Fri,WCQ,Second round,Home,W 1–0,pt Portugal,se Sweden,Y*,,90,1,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,11/19/2013,Tue,WCQ,Second round,Away,W 3–2,pt Portugal,se Sweden,Y*,,90,3,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,3/5/2014,Wed,Friendlies (M),Friendlies (M),Home,W 5–1,pt Portugal,cm Cameroon,Y*,FW,86,2,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/10/2014,Tue,Friendlies (M),Friendlies (M),Away,W 5–1,pt Portugal,ie Rep. of Ireland,Y*,,64,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/16/2014,Mon,World Cup,Group stage,Neutral,L 0–4,pt Portugal,de Germany,Y,,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/22/2014,Sun,World Cup,Group stage,Neutral,D 2–2,pt Portugal,us United States,Y,,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/26/2014,Thu,World Cup,Group stage,Neutral,W 2–1,pt Portugal,gh Ghana,Y,,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/11/2014,Sat,Friendlies (M),Friendlies (M),Away,L 1–2,pt Portugal,fr France,Y*,FW,75,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/14/2014,Tue,UEFA Euro Qualifying,Group stage,Away,W 1–0,pt Portugal,dk Denmark,Y*,FW,90,1,0,0,0,6,3,1,0,,,1,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,11/14/2014,Fri,UEFA Euro Qualifying,Group stage,Home,W 1–0,pt Portugal,am Armenia,Y*,LM,90,1,0,0,0,9,3,0,0,,,0,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,11/18/2014,Tue,Friendlies (M),Friendlies (M),Away,W 1–0,pt Portugal,ar Argentina,Y*,FW,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,3/29/2015,Sun,UEFA Euro Qualifying,Group stage,Home,W 2–1,pt Portugal,rs Serbia,Y*,FW,90,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,9/4/2015,Fri,Friendlies (M),Friendlies (M),Home,L 0–1,pt Portugal,fr France,Y*,FW,66,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,9/7/2015,Mon,UEFA Euro Qualifying,Group stage,Away,W 1–0,pt Portugal,al Albania,Y*,FW,90,0,0,0,0,3,2,0,0,,,0,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/8/2015,Thu,UEFA Euro Qualifying,Group stage,Home,W 1–0,pt Portugal,dk Denmark,Y*,FW,90,0,0,0,0,4,3,0,0,,,0,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,3/25/2016,Fri,Friendlies (M),Friendlies (M),Home,L 0–1,pt Portugal,bg Bulgaria,Y,,90,0,0,0,1,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,3/29/2016,Tue,Friendlies (M),Friendlies (M),Home,W 2–1,pt Portugal,be Belgium,Y*,FW,59,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/8/2016,Wed,Friendlies (M),Friendlies (M),Home,W 7–0,pt Portugal,ee Estonia,Y*,FW,45,2,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/14/2016,Tue,UEFA Euro,Group stage,Neutral,D 1–1,pt Portugal,is Iceland,Y*,FW,90,0,0,0,0,10,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/18/2016,Sat,UEFA Euro,Group stage,Neutral,D 0–0,pt Portugal,at Austria,Y*,FW,90,0,0,0,1,10,3,0,0,,,0,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/22/2016,Wed,UEFA Euro,Group stage,Neutral,D 3–3,pt Portugal,hu Hungary,Y*,FW,90,2,1,0,0,10,3,0,0,,,0,,,,,,,,,,,,,,,Match Report
